FOLIO_I;FOLIO_INT;entidad;desc_ent;municipio;desc_mun;id_alim;alimento;por_est;pa1;esp_alim;pa2;pa3;pa4;ponde_f;estrato;est_sel;upm;completa;region
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;1;Leche materna;1 tetada;0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;2;Leche Liconsa;1 vaso (240ml);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;3;Otra leche opción A;1 vaso (240 ml);7;452;3;ES;1.00;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;4;Otra leche opción B;1 vaso (240 ml);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;5;Otra leche opción C;1 vaso (240 ml);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;6;Leche preparada de sabor (chocolate u otro sabor);1 vaso (240 ml);1; ;1;ES;1.00;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;7;Agregado a la leche: Azúcar;1 cucharada cafetera copeteada (10g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;8;Agregado a la leche: Chocolate u otro saborizante;1 cucharada cafetera copeteada (10g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;9;Queso panela o fresco o cottage;1 rebanada o 2 cucharadas soperas (30 g);1; ;1;ES;2.00;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;10;Quesos madurados (chihuahua, manchego, gouda, etc.);1 rebanada (30 g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;11;Yogur de vaso: a) Entero natural;1 vaso típico de yogur (150g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;12;Yogur de vaso: b) Entero con frutas;1 vaso típico de yogur (150 g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;13;Yogur de vaso: c) Bajo en grasa o light natural o con fruta (vitalinea, alpura light, lala light, etc.);1 vaso típico de yogur (150g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;14;Yogur para beber: a) Entero natural;1 envase típico (230 g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;15;Yogur para beber: b) Entero con fruta;1 envase típico (230 g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;16;Yogur para beber: c) Bajo en grasa o light natural o con fruta (vitalinea, activia 0%, Siluette);1 envase típico (230 g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;17;Danonino o similar;1 envase (45g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;18;Yakult o similares;1 envase (80ml);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;19;Plátano;1 pieza chica (116g)  o 2 plátanos dominicos chicos;0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;20;Plátano frito;½ pieza mediana (113g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;21;Jícama;1/3 pieza mediana o 3/4 taza (100g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;22;Naranja o mandarina;1 pieza chica (109g);2; ;1;E;2.00;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;23;Manzana o pera;1/2 pieza mediana (70g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;24;Melón o sandía;1 rebanada mediana o 3/4 taza (115g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;25;Guayaba;1 pieza chica (50g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;26;Mango;1/2 pieza chica (62g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;27;Papaya;1/2 taza o 1 rebanada chica (70g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;28;Piña;1/2 rebanada mediana (75 g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;29;Toronja;1/2 pieza chica (135g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;30;Fresa;1/3 taza o 3 piezas medianas (50 g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;31;Uvas;10 piezas (60g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;32;Durazno/melocotón;1 pieza mediana (55g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;33;Frutas en almíbar;½ taza (80g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;34;Frutas cristalizadas o secas;¼ taza (25g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;35;Tortitas de verduras capeadas;1 pieza mediana (72g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;36;Jitomate;½ pieza chica (30g) en ensalada;3; ;1;M;1.00;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;37;Hojas Verdes (acelgas, espinacas, quelites);½ plato (85g) cocidas o 1 plato crudas;0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;38;Chayote;¼ pieza chica (50g) o 1/3 taza;0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;39;Zanahoria;1 pieza chica o ½ taza (50g);1; ;1;E;2.00;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;40;Calabacita;½ pieza mediana (50g);1; ;1;E;1.00;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;41;Brócoli o coliflor;¼ taza (35g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;42;Col;¼ taza (35 g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;43;Ejotes;¼ taza o 5 piezas (30g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;44;Elote;½ pieza chica (50g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;45;Lechuga;½ taza o 1 hoja (30g);0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
2022_01001007;2022_01001007_04;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;46;Nopales;1 pieza mediana (70g) o 1/2 taza;0; ; ; ; ;5378,10884705221;3;13;0100100011320;1;4
