folio_integrante;edad;ponderador;grupo;resultado_general_entrevista;region_Centro;region_Centro Norte;region_Frontera;region_Pacifico-Norte;region_Pacífico Sur;region_Pacífico-Centro;region_Península;sexo_Mujer;estrato_Rural  ( <2500 Hab );estrato_Urbano ( 2500-99,999 Hab)
2022_01001001_01;51;8717.1854790009;Adolescentes y Adultos;1;False;True;False;False;False;False;False;True;False;False
2022_01001028_04;26;51475.173555678;Adolescentes y Adultos;1;False;True;False;False;False;False;False;True;False;False
2022_01001034_03;12;16477.8557582843;Adolescentes y Adultos;1;False;True;False;False;False;False;False;False;False;False
2022_01001041_04;12;11801.483709865;Adolescentes y Adultos;1;False;True;False;False;False;False;False;False;False;False
2022_01001042_01;62;7032.17435561176;Adolescentes y Adultos;1;False;True;False;False;False;False;False;True;False;False
2022_01001042_04;17;23602.9674197301;Adolescentes y Adultos;1;False;True;False;False;False;False;False;False;False;False
2022_01001052_01;72;15338.3919052447;Adolescentes y Adultos;1;False;True;False;False;False;False;False;True;False;False
2022_01001074_05;13;29774.0264583911;Adolescentes y Adultos;1;False;True;False;False;False;False;False;False;False;False
2022_01001075_02;33;27374.8522981065;Adolescentes y Adultos;1;False;True;False;False;False;False;False;True;False;False
2022_01001081_02;60;15823.0335318306;Adolescentes y Adultos;1;False;True;False;False;False;False;False;True;False;False
2022_01001088_01;45;42563.9470690317;Adolescentes y Adultos;1;False;True;False;False;False;False;False;False;False;False
2022_01001124_01;68;200058.954336164;Adolescentes y Adultos;1;False;True;False;False;False;False;False;False;False;False
2022_01001151_03;23;41144.7496627228;Adolescentes y Adultos;1;False;True;False;False;False;False;False;True;False;False
2022_01001155_01;49;16329.2802916334;Adolescentes y Adultos;1;False;True;False;False;False;False;False;True;False;False
2022_01001194_01;43;136870.972508855;Adolescentes y Adultos;1;False;True;False;False;False;False;False;True;False;False
2022_01001206_01;57;16003.8584691401;Adolescentes y Adultos;1;False;True;False;False;False;False;False;True;False;False
2022_01002008_05;19;20243.6850996827;Adolescentes y Adultos;1;False;True;False;False;False;False;False;True;True;False
2022_01002010_03;20;13347.9142132638;Adolescentes y Adultos;1;False;True;False;False;False;False;False;True;True;False
2022_01002011_01;19;20243.6850996827;Adolescentes y Adultos;0;False;True;False;False;False;False;False;True;True;False
2022_01002012_02;29;26695.8284265277;Adolescentes y Adultos;0;False;True;False;False;False;False;False;True;True;False
2022_01002021_02;47;14852.2485106239;Adolescentes y Adultos;1;False;True;False;False;False;False;False;True;True;False
2022_01005004_03;27;99636.443185492;Adolescentes y Adultos;1;False;True;False;False;False;False;False;True;False;True
2022_01005004_05;15;40646.8432150729;Adolescentes y Adultos;1;False;True;False;False;False;False;False;False;False;True
2022_01005005_01;53;27481.2008198493;Adolescentes y Adultos;0;False;True;False;False;False;False;False;True;False;True
2022_01005007_05;12;71181.066016734;Adolescentes y Adultos;1;False;True;False;False;False;False;False;False;False;True
2022_01005019_01;22;34101.2151227695;Adolescentes y Adultos;0;False;True;False;False;False;False;False;True;False;True
2022_01006001_04;17;45946.6707768964;Adolescentes y Adultos;1;False;True;False;False;False;False;False;False;False;True
2022_01006010_03;21;64797.9887153753;Adolescentes y Adultos;1;False;True;False;False;False;False;False;True;False;True
2022_01009014_02;61;20145.2915888627;Adolescentes y Adultos;1;False;True;False;False;False;False;False;True;True;False
2022_01009019_01;73;64752.3777765656;Adolescentes y Adultos;1;False;True;False;False;False;False;False;False;True;False
2022_01009030_01;42;15083.0066282618;Adolescentes y Adultos;1;False;True;False;False;False;False;False;True;True;False
2022_02001003_04;32;215463.117866307;Adolescentes y Adultos;1;False;False;False;True;False;False;False;True;False;False
2022_02001039_02;38;58679.3172061432;Adolescentes y Adultos;1;False;False;False;True;False;False;False;True;False;False
2022_02001046_02;49;58785.4248967553;Adolescentes y Adultos;1;False;False;False;True;False;False;False;True;False;False
2022_02001048_02;66;40835.3637596762;Adolescentes y Adultos;1;False;False;False;True;False;False;False;True;False;False
2022_02001049_03;16;53902.00953599;Adolescentes y Adultos;1;False;False;False;True;False;False;False;True;False;False
2022_02001059_01;56;93366.6177795314;Adolescentes y Adultos;1;False;False;False;True;False;False;False;False;False;False
2022_02002008_01;63;100727.877641176;Adolescentes y Adultos;0;False;False;False;True;False;False;False;True;False;False
