FOLIO_I;FOLIO_INT;entidad;desc_ent;municipio;desc_mun;id_alim;alimento;por_est;pa1;esp_alim;pa2;pa3;pa4;ponde_f;estrato;est_sel;upm;completa;region
2022_01001035;2022_01001035_06;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;1;Leche Liconsa;1 vaso  (240 ml);0; ; ; ; ;40406,0601427181;3;13;0100100011320;1;4
2022_01001035;2022_01001035_06;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;2;Otra Leche A;1 vaso  (240 ml);3;7000;1;ES;1.00;40406,0601427181;3;13;0100100011320;1;4
2022_01001035;2022_01001035_06;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;3;Otra Leche B;1 vaso  (240 ml);0; ; ; ; ;40406,0601427181;3;13;0100100011320;1;4
2022_01001035;2022_01001035_06;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;4;Otra Leche C;1 vaso  (240 ml);0; ; ; ; ;40406,0601427181;3;13;0100100011320;1;4
2022_01001035;2022_01001035_06;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;5;Leche preparada de sabor (chocolate u otro sabor);1 vaso  (240 ml);1; ;1;ES;1.00;40406,0601427181;3;13;0100100011320;1;4
2022_01001035;2022_01001035_06;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;6;Agreagado a la leche: Azúcar;1 cucharada cafetera copeteada (10g);0; ; ; ; ;40406,0601427181;3;13;0100100011320;1;4
2022_01001035;2022_01001035_06;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;7;Agreagado a la leche: Chocolate u otro saborizante;1 cucharada cafetera copeteada (10g);0; ; ; ; ;40406,0601427181;3;13;0100100011320;1;4
2022_01001035;2022_01001035_06;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;8;Queso panela o fresco o cottage;1 rebanada o 2 cucharadas soperas (30 g);2; ;1;ES;1.00;40406,0601427181;3;13;0100100011320;1;4
2022_01001035;2022_01001035_06;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;9;Quesos madurados (chihuahua, manchego, gouda, etc.);1 rebanada (30 g);0; ; ; ; ;40406,0601427181;3;13;0100100011320;1;4
2022_01001035;2022_01001035_06;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;10;Yogur en vaso: Entero natural;1 vaso típico de yogur (150g);0; ; ; ; ;40406,0601427181;3;13;0100100011320;1;4
