FOLIO_I;FOLIO_INT;t_hora;t_min;t_sumai;t_sumaf;hora_ini_1;fecha_ini_1;hora_fin_1;fecha_fin_1;tiempo1;resultado_1;hora_ini_2;fecha_ini_2;hora_fin_2;fecha_fin_2;tiempo2;resultado_2;hora_ini_3;fecha_ini_3;hora_fin_3;fecha_fin_3;tiempo3;resultado_3;hora_ini_4;fecha_ini_4;hora_fin_4;fecha_fin_4;tiempo4;resultado_4;hora_ini;fecha_ini;localizado;entidad;desc_ent;municipio;desc_mun;nota1;region;edad;sexo;fech_nac;nota2;p_t_maiz;p_t_trigo;consumo;comentario;tiempo;hora_fin;fecha_fin;completa;otroent;ponde_f;estrato;est_sel;upm
2022_01001035;2022_01001035_06;17;17;1015;1037;16:55:13;09/11/2022;17:17:27;09/11/2022;22;1; ; ; ; ;0;0; ; ; ; ;0;0; ; ; ; ;0;0;16:55:13;09/11/2022;1;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;1;4;10;2;08072012;1;22;25;1;NINGUNO;22;17:17:27;09/11/2022;1; ;40406,0601427181;3;13;0100100011320
2022_01001053;2022_01001053_04;15;24;901;924;15:01:16;17/11/2022;15:24:53;17/11/2022;23;1; ; ; ; ;0;0; ; ; ; ;0;0; ; ; ; ;0;0;15:01:16;17/11/2022;1;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;1;4;11;1;13022011;1;21; ;3;NINGUNO;23;15:24:53;17/11/2022;1; ;34194,3738753318;3;13;0100100011405
2022_01001072;2022_01001072_03;16;6;934;966;15:34:06;15/11/2022;16:06:59;15/11/2022;32;1; ; ; ; ;0;0; ; ; ; ;0;0; ; ; ; ;0;0;15:34:06;15/11/2022;1;01;01 AGUASCALIENTES;001;001 AGUASCALIENTES;1;4;8;2;27082014;1;27; ;1; ;32;16:06:59;15/11/2022;1; ;21211,3068419312;3;13;0100100012032
2022_01002009;2022_01002009_05;12;44;737;764;12:17:19;03/11/2022;12:44:03;03/11/2022;27;1; ; ; ; ;0;0; ; ; ; ;0;0; ; ; ; ;0;0;12:17:19;03/11/2022;1;01;01 AGUASCALIENTES;002;002 ASIENTOS;1;4;5;2;25032017;1;58;50;1; ;27;12:44:03;03/11/2022;1; ;33063,7296210961;1;11;0100200000029
2022_01005024;2022_01005024_04;18;15;1077;1095;17:57:34;06/11/2022;18:15:35;06/11/2022;18;1; ; ; ; ;0;0; ; ; ; ;0;0; ; ; ; ;0;0;17:57:34;06/11/2022;1;01;01 AGUASCALIENTES;005;005 JESÚS MARÍA;1;4;9;2;20022013;1;23;25;2;NINGUNO;18;18:15:35;06/11/2022;1; ;63770,4417237588;2;12;0100500010247
2022_01006002;2022_01006002_06;12;8;700;728;11:40:00;06/11/2022;12:08:13;06/11/2022;28;1; ; ; ; ;0;0; ; ; ; ;0;0; ; ; ; ;0;0;11:40:00;06/11/2022;1;01;01 AGUASCALIENTES;006;006 PABELLÓN DE ARTEAGA;1;4;7;2;18102014;1;25;78;1; ;28;12:08:13;06/11/2022;1; ;123263,456088033;2;12;0100600010282
2022_01006010;2022_01006010_04;15;11;882;911;14:42:48;06/11/2022;15:11:29;06/11/2022;29;1; ; ; ; ;0;0; ; ; ; ;0;0; ; ; ; ;0;0;14:42:48;06/11/2022;1;01;01 AGUASCALIENTES;006;006 PABELLÓN DE ARTEAGA;1;4;8;2;28122013;1;19; ;1;NINGUNO;29;15:11:29;06/11/2022;1; ;36352,3383109437;2;12;0100600010282
2022_01009002;2022_01009002_03;18;5;1071;1085;17:51:07;04/11/2022;18:05:34;04/11/2022;14;1; ; ; ; ;0;0; ; ; ; ;0;0; ; ; ; ;0;0;17:51:07;04/11/2022;1;01;01 AGUASCALIENTES;009;009 TEPEZALÁ;1;4;10;1;14102011;1;41;30;1; ;14;18:05:34;04/11/2022;1; ;8937,67643395246;1;11;010090000002A
2022_01009029;2022_01009029_08;13;35;801;815;13:21:27;05/11/2022;13:35:44;05/11/2022;14;1; ; ; ; ;0;0; ; ; ; ;0;0; ; ; ; ;0;0;13:21:27;05/11/2022;1;01;01 AGUASCALIENTES;009;009 TEPEZALÁ;1;4;9;2;13032013;1;31; ;1; ;14;13:35:44;05/11/2022;1; ;14010,6286943644;1;11;010090000002A
2022_02001032;2022_02001032_04;19;32;1144;1172;19:04:22;13/11/2022;19:32:27;13/11/2022;28;1; ; ; ; ;0;0; ; ; ; ;0;0; ; ; ; ;0;0;19:04:22;13/11/2022;1;02;02 BAJA CALIFORNIA;001;001 ENSENADA;1;1;7;2;02102015;1;30;999;1;NINGUNO;28;19:32:27;13/11/2022;1; ;219679,646664619;3;23;0200100017377
2022_02002155;2022_02002155_03;15;10;887;910;14:40:03;27/10/2022;14:42:10;27/10/2022;2;8;14:47:38;27/10/2022;15:10:12;27/10/2022;23;1; ; ; ; ;0;0; ; ; ; ;0;0;14:40:03;27/10/2022;1;02;02 BAJA CALIFORNIA;002;002 MEXICALI;1;1;11;1;29112011;1;32;32;3; ;25;15:10:12;27/10/2022;1; ;37270,2054762314;1;21;0200200003511
2022_03003094;2022_03003094_04;18;59;1128;1139;18:48:09;24/11/2022;18:59:04;24/11/2022;11;1; ; ; ; ;0;0; ; ; ; ;0;0; ; ; ; ;0;0;18:48:09;24/11/2022;1;03;03 BAJA CALIFORNIA SUR;003;003 LA PAZ;1;1;9;2;03032013;1;27; ;1; ;11;18:59:04;24/11/2022;1; ;16528,0898116133;3;33;0300300015420
2022_03003119;2022_03003119_03;18;55;1117;1135;18:37:00;25/11/2022;18:55:01;25/11/2022;18;1; ; ; ; ;0;0; ; ; ; ;0;0; ; ; ; ;0;0;18:37:00;25/11/2022;1;03;03 BAJA CALIFORNIA SUR;003;003 LA PAZ;1;1;10;2;12052012;1;28; ;1;RESPUESTAS REGULARES;18;18:55:01;25/11/2022;1; ;19204,6982213135;3;33;0300300016503
2022_03003129;2022_03003129_03;13;16;785;796;12:39:11;04/12/2022;13:05:22;04/12/2022;26;2;13:05:30;04/12/2022;13:16:17;04/12/2022;11;1; ; ; ; ;0;0; ; ; ; ;0;0;12:39:11;04/12/2022;1;03;03 BAJA CALIFORNIA SUR;003;003 LA PAZ;1;1;10;2;10112011;1;26;28;1; ;37;13:16:17;04/12/2022;1; ;96260,7662981482;2;32;0300306840097
2022_03008047;2022_03008047_05;21;6;1238;1266;20:38:35;28/11/2022;21:06:29;28/11/2022;28;1; ; ; ; ;0;0; ; ; ; ;0;0; ; ; ; ;0;0;20:38:35;28/11/2022;1;03;03 BAJA CALIFORNIA SUR;008;008 LOS CABOS;1;1;7;2;25072015;1;24; ;1; ;28;21:06:29;28/11/2022;1; ;22336,5328025517;3;33;030080054091A
2022_03008095;2022_03008095_05;12;47;740;767;12:20:43;01/12/2022;12:47:13;01/12/2022;27;1; ; ; ; ;0;0; ; ; ; ;0;0; ; ; ; ;0;0;12:20:43;01/12/2022;1;03;03 BAJA CALIFORNIA SUR;008;008 LOS CABOS;1;1;8;1;19092014;1;36; ;1;NINGUNO;27;12:47:13;01/12/2022;1; ;7426,10491355829;3;33;0300800542530
2022_04001032;2022_04001032_03;16;44;978;1004;16:18:36;05/11/2022;16:44:03;05/11/2022;26;1; ; ; ; ;0;0; ; ; ; ;0;0; ; ; ; ;0;0;16:18:36;05/11/2022;1;04;04 CAMPECHE;001;001 CALKINÍ;1;8;11;2;15022011;1;28; ;2; ;26;16:44:03;05/11/2022;1; ;8094,92468443701;2;42;0400100070186
2022_04001040;2022_04001040_04;18;0;1053;1080;17:33:39;07/11/2022;18:00:28;07/11/2022;27;1; ; ; ; ;0;0; ; ; ; ;0;0; ; ; ; ;0;0;17:33:39;07/11/2022;1;04;04 CAMPECHE;001;001 CALKINÍ;1;8;8;1;08012014;1;22; ;2; ;27;18:00:28;07/11/2022;1; ;7494,43551082347;2;42;0400100070186
2022_04002001;2022_04002001_03;10;3;553;603;09:13:54;31/10/2022;10:03:45;31/10/2022;50;1; ; ; ; ;0;0; ; ; ; ;0;0; ; ; ; ;0;0;09:13:54;31/10/2022;1;04;04 CAMPECHE;002;002 CAMPECHE;1;8;7;1;25032015;1;18;21;1;HOT CAKE 2 DIAS, 1VEZ, 2PZs,MEDIANAS;50;10:03:45;31/10/2022;1; ;21406,1568008401;3;43;0400200011209
2022_04002040;2022_04002040_03;17;34;999;1054;16:39:56;25/10/2022;17:34:35;25/10/2022;55;1; ; ; ; ;0;0; ; ; ; ;0;0; ; ; ; ;0;0;16:39:56;25/10/2022;1;04;04 CAMPECHE;002;002 CAMPECHE;1;8;6;2;26072016;1;20; ;1; ;55;17:34:35;25/10/2022;1; ;15392,5359473519;3;43;0400200011302
2022_04002150;2022_04002150_05;16;52;954;1012;15:54:08;10/11/2022;16:52:40;10/11/2022;58;1; ; ; ; ;0;0; ; ; ; ;0;0; ; ; ; ;0;0;15:54:08;10/11/2022;1;04;04 CAMPECHE;002;002 CAMPECHE;1;8;10;1;12022012;1;72;0;3; ;58;16:52:40;10/11/2022;1; ;17027,1516178774;1;41;040020000079A
2022_04002158;2022_04002158_05;17;59;1059;1079;17:39:17;10/11/2022;17:59:52;10/11/2022;20;1; ; ; ; ;0;0; ; ; ; ;0;0; ; ; ; ;0;0;17:39:17;10/11/2022;1;04;04 CAMPECHE;002;002 CAMPECHE;1;8;6;2;10022016;1;14; ;1; ;20;17:59:52;10/11/2022;1; ;10490,0111551999;1;41;040020000079A
2022_04003007;2022_04003007_05;20;40;1215;1240;20:15:20;16/11/2022;20:40:36;16/11/2022;25;1; ; ; ; ;0;0; ; ; ; ;0;0; ; ; ; ;0;0;20:15:20;16/11/2022;1;04;04 CAMPECHE;003;003 CARMEN;1;8;8;1;04042014;1;18; ;3; ;25;20:40:36;16/11/2022;1; ;74255,3109232713;3;43;040030001002A
2022_04008005;2022_04008005_07;16;13;945;973;15:45:40;09/11/2022;16:13:27;09/11/2022;28;1; ; ; ; ;0;0; ; ; ; ;0;0; ; ; ; ;0;0;15:45:40;09/11/2022;1;04;04 CAMPECHE;008;008 TENABO;1;8;6;1;25102015;1;20;20;1; ;28;16:13:27;09/11/2022;1; ;7494,43551082347;2;42;0400800010223
