edad;ponderador;resultado_general_entrevista;balance_dqi;moderation_dqi;variety_dqi;dqi_food_groups;dqi_protein_sources;dqi_adecuacy;dqi_total;region;estrato;sexo;edad_rango
51;0.00012244312577679994;1;0;18;17;12;5;32;67;Centro Norte;Rural  ( <2500 Hab );Mujer;50 - 65
26;0.0007230293728685081;1;0;9;17;12;5;32;58;Centro Norte;Rural  ( <2500 Hab );Mujer;25 - 34
62;9.877516214181139e-05;1;0;9;20;15;5;31;60;Centro Norte;Rural  ( <2500 Hab );Mujer;50 - 65
33;0.00038451200690094075;1;0;9;14;9;5;22;45;Centro Norte;Rural  ( <2500 Hab );Mujer;25 - 34
60;0.00022225312167276613;1;0;3;20;15;5;37;60;Centro Norte;Rural  ( <2500 Hab );Mujer;50 - 65
45;0.0005978607128510734;1;0;12;9;6;3;25;46;Centro Norte;Rural  ( <2500 Hab );Hombre;35 - 49
23;0.0005779264156009585;1;0;18;7;6;1;21;46;Centro Norte;Rural  ( <2500 Hab );Mujer;18 - 24
49;0.00022936395301092599;1;0;6;17;12;5;31;54;Centro Norte;Rural  ( <2500 Hab );Mujer;35 - 49
43;0.001922513836887573;1;0;12;9;6;3;31;52;Centro Norte;Rural  ( <2500 Hab );Mujer;35 - 49
57;0.00022479302065689402;1;0;9;17;12;5;30;56;Centro Norte;Rural  ( <2500 Hab );Mujer;50 - 65
19;0.0002843463738172599;1;0;15;14;9;5;18;47;Centro Norte;Rural  ( <2500 Hab );Mujer;18 - 24
20;0.00018748715887824765;1;2;15;20;15;5;31;68;Centro Norte;Rural  ( <2500 Hab );Mujer;18 - 24
47;0.00020861730392629448;1;0;18;4;3;1;12;34;Centro Norte;Rural  ( <2500 Hab );Mujer;35 - 49
27;0.0013995110663071984;1;0;9;11;6;5;19;39;Centro Norte;Urbano ( 2500-99,999 Hab);Mujer;25 - 34
21;0.000910163986010506;1;0;12;17;12;5;29;58;Centro Norte;Urbano ( 2500-99,999 Hab);Mujer;18 - 24
61;0.00028296432119832957;1;4;18;6;6;0;18;46;Centro Norte;Rural  ( <2500 Hab );Mujer;50 - 65
42;0.00021185857317426664;1;0;18;9;6;3;21;48;Centro Norte;Rural  ( <2500 Hab );Mujer;35 - 49
32;0.003026432981690944;1;0;18;1;0;1;11;30;Pacifico-Norte;Rural  ( <2500 Hab );Mujer;25 - 34
38;0.000824220046077534;1;0;15;17;12;5;19;51;Pacifico-Norte;Rural  ( <2500 Hab );Mujer;35 - 49
49;0.0008257104534273375;1;0;15;17;12;5;19;51;Pacifico-Norte;Rural  ( <2500 Hab );Mujer;35 - 49
56;0.0013114439920628867;1;0;12;20;15;5;26;58;Pacifico-Norte;Rural  ( <2500 Hab );Hombre;50 - 65
59;0.001455953956165618;1;0;18;14;9;5;23;55;Pacifico-Norte;Rural  ( <2500 Hab );Mujer;50 - 65
34;0.00395021228238586;1;0;3;14;9;5;27;44;Pacifico-Norte;Rural  ( <2500 Hab );Hombre;25 - 34
48;0.003328243149104615;1;0;9;11;6;5;23;43;Pacifico-Norte;Rural  ( <2500 Hab );Hombre;35 - 49
59;0.0016036519975096417;1;0;18;17;12;5;25;60;Pacifico-Norte;Rural  ( <2500 Hab );Mujer;50 - 65
22;0.0006044074582171456;1;0;12;17;12;5;30;59;Pacifico-Norte;Rural  ( <2500 Hab );Mujer;18 - 24
44;0.0012511551074411039;1;0;12;17;12;5;28;57;Pacifico-Norte;Rural  ( <2500 Hab );Hombre;35 - 49
43;0.0008438043401016739;1;0;18;0;0;0;15;33;Pacifico-Norte;Rural  ( <2500 Hab );Mujer;35 - 49
35;0.00395021228238586;1;0;6;20;15;5;33;59;Pacifico-Norte;Rural  ( <2500 Hab );Hombre;35 - 49
55;0.0009482062475833208;1;0;12;14;9;5;23;49;Pacifico-Norte;Rural  ( <2500 Hab );Mujer;50 - 65
49;0.0015002881285934048;1;0;3;20;15;5;39;62;Pacifico-Norte;Rural  ( <2500 Hab );Hombre;35 - 49
28;0.002014882214383764;1;0;18;17;12;5;24;59;Pacifico-Norte;Rural  ( <2500 Hab );Hombre;25 - 34
44;0.0009433231766301869;1;2;18;0;0;0;12;32;Pacifico-Norte;Urbano ( 2500-99,999 Hab);Mujer;35 - 49
63;0.0013427265079103974;1;0;12;13;12;1;26;51;Pacifico-Norte;Urbano ( 2500-99,999 Hab);Mujer;50 - 65
21;0.002390825690714544;1;0;9;17;12;5;24;50;Pacifico-Norte;Urbano ( 2500-99,999 Hab);Hombre;18 - 24
41;0.0004096717795651098;1;0;18;14;9;5;17;49;Pacifico-Norte;Urbano ( 2500-99,999 Hab);Mujer;35 - 49
24;0.0011954128453572747;1;0;9;17;12;5;28;54;Pacifico-Norte;Urbano ( 2500-99,999 Hab);Hombre;18 - 24
18;0.00043686939686445335;1;0;15;7;6;1;22;44;Pacifico-Norte;Rural  ( <2500 Hab );Mujer;18 - 24
30;0.0010006049137315975;1;0;6;20;15;5;26;52;Pacifico-Norte;Rural  ( <2500 Hab );Hombre;25 - 34
26;0.0019095881727118715;1;0;12;14;9;5;23;49;Pacifico-Norte;Rural  ( <2500 Hab );Hombre;25 - 34
43;0.002396409257533057;1;0;18;14;9;5;22;54;Pacifico-Norte;Rural  ( <2500 Hab );Mujer;35 - 49
60;0.0022192706042032696;1;0;18;11;6;5;11;40;Pacifico-Norte;Rural  ( <2500 Hab );Mujer;50 - 65
21;0.00021949074250134502;1;0;15;17;12;5;29;61;Pacifico-Norte;Rural  ( <2500 Hab );Hombre;18 - 24
26;0.0002011905227150419;1;0;6;20;15;5;35;61;Pacifico-Norte;Rural  ( <2500 Hab );Mujer;25 - 34
46;0.00027827362471567405;1;0;18;13;12;1;30;61;Pacifico-Norte;Rural  ( <2500 Hab );Hombre;35 - 49
31;0.0003428312644179551;1;0;15;9;6;3;25;49;Pacifico-Norte;Rural  ( <2500 Hab );Hombre;25 - 34
19;0.0005108588947805591;1;0;15;17;12;5;25;57;Pacifico-Norte;Rural  ( <2500 Hab );Hombre;18 - 24
40;0.0012796250947109092;1;0;6;8;3;5;21;35;Pacifico-Norte;Rural  ( <2500 Hab );Hombre;35 - 49
36;0.00013654548592876875;1;0;18;9;6;3;19;46;Pacifico-Norte;Rural  ( <2500 Hab );Mujer;35 - 49
24;0.00037004904888223486;1;0;0;20;15;5;34;54;Pacifico-Norte;Rural  ( <2500 Hab );Hombre;18 - 24
47;0.0001631216272237304;1;2;18;7;6;1;29;56;Pacifico-Norte;Rural  ( <2500 Hab );Mujer;35 - 49
20;0.0007482334321453674;1;0;9;14;9;5;25;48;Pacifico-Norte;Urbano ( 2500-99,999 Hab);Mujer;18 - 24
19;0.0004028661671758146;1;0;12;11;6;5;19;42;Pacifico-Norte;Rural  ( <2500 Hab );Mujer;18 - 24
28;0.0006396436090368937;1;0;18;20;15;5;30;68;Península;Urbano ( 2500-99,999 Hab);Hombre;25 - 34
26;0.002359578307436824;1;0;12;9;6;3;24;45;Península;Rural  ( <2500 Hab );Hombre;25 - 34
18;0.0010682764317353976;1;2;18;3;3;0;20;43;Península;Rural  ( <2500 Hab );Mujer;18 - 24
43;0.0012237231197107486;1;0;15;17;12;5;34;66;Península;Rural  ( <2500 Hab );Hombre;35 - 49
42;0.002265424411675487;1;0;6;20;15;5;37;63;Península;Rural  ( <2500 Hab );Mujer;35 - 49
47;0.0003087225335644443;1;0;18;7;6;1;25;50;Península;Rural  ( <2500 Hab );Hombre;35 - 49
37;0.00029189847928769706;1;0;6;20;15;5;34;60;Península;Rural  ( <2500 Hab );Hombre;35 - 49
28;0.0002786265983140105;1;0;6;17;12;5;30;53;Península;Rural  ( <2500 Hab );Mujer;25 - 34
59;0.00016614376740531415;1;0;12;17;12;5;28;57;Península;Rural  ( <2500 Hab );Hombre;50 - 65
26;0.0007010576895642385;1;0;18;3;3;0;16;37;Península;Urbano ( 2500-99,999 Hab);Hombre;25 - 34
33;0.00019809925009412743;1;0;0;20;15;5;37;57;Península;Urbano ( 2500-99,999 Hab);Mujer;25 - 34
18;0.00026021616580551376;1;0;18;9;6;3;27;54;Península;Urbano ( 2500-99,999 Hab);Hombre;18 - 24
55;0.0001670871427162375;1;0;15;17;12;5;28;60;Península;Urbano ( 2500-99,999 Hab);Mujer;50 - 65
36;0.00035790161673022563;1;0;15;9;9;0;23;47;Península;Urbano ( 2500-99,999 Hab);Hombre;35 - 49
46;0.0002149959508374487;1;0;18;6;6;0;22;46;Península;Urbano ( 2500-99,999 Hab);Mujer;35 - 49
53;0.00020372052902817146;1;0;6;17;12;5;35;58;Península;Urbano ( 2500-99,999 Hab);Hombre;50 - 65
31;0.002688347171837059;1;2;18;10;9;1;20;50;Frontera;Rural  ( <2500 Hab );Mujer;25 - 34
25;0.001397069576189606;1;0;0;20;15;5;36;56;Frontera;Urbano ( 2500-99,999 Hab);Hombre;25 - 34
20;0.0013385984722754224;1;0;0;14;9;5;29;43;Frontera;Urbano ( 2500-99,999 Hab);Hombre;18 - 24
42;0.0015943344168119847;1;0;9;17;12;5;27;53;Frontera;Urbano ( 2500-99,999 Hab);Mujer;35 - 49
52;0.00030943726711510106;1;0;18;12;9;3;18;48;Frontera;Rural  ( <2500 Hab );Mujer;50 - 65
22;0.0005670489864469342;1;0;9;17;12;5;28;54;Frontera;Rural  ( <2500 Hab );Hombre;18 - 24
34;0.0010618810617058234;1;0;12;20;15;5;29;61;Frontera;Rural  ( <2500 Hab );Hombre;25 - 34
20;0.001903220609352598;1;0;12;14;9;5;25;51;Frontera;Rural  ( <2500 Hab );Mujer;18 - 24
31;0.0026311844830992563;1;0;9;17;12;5;29;55;Frontera;Rural  ( <2500 Hab );Hombre;25 - 34
30;0.0022266490449344293;1;0;18;9;9;0;26;53;Frontera;Rural  ( <2500 Hab );Hombre;25 - 34
54;0.0017940782265063904;1;0;3;17;12;5;31;51;Frontera;Rural  ( <2500 Hab );Hombre;50 - 65
41;0.0011978736101291507;1;2;9;18;15;3;37;66;Frontera;Rural  ( <2500 Hab );Hombre;35 - 49
60;0.0017391270940481476;1;0;6;20;15;5;34;60;Frontera;Rural  ( <2500 Hab );Mujer;50 - 65
31;0.0018885578927936501;1;0;18;18;15;3;30;66;Frontera;Rural  ( <2500 Hab );Mujer;25 - 34
53;0.0009889886326054;1;0;18;17;12;5;25;60;Frontera;Urbano ( 2500-99,999 Hab);Hombre;50 - 65
60;0.0021136280186463173;1;0;15;7;6;1;23;45;Frontera;Urbano ( 2500-99,999 Hab);Hombre;50 - 65
61;0.00039868511735752243;1;0;15;20;15;5;36;71;Pacífico-Centro;Rural  ( <2500 Hab );Mujer;50 - 65
24;0.0011385018539751403;1;0;6;17;12;5;33;56;Pacífico-Centro;Rural  ( <2500 Hab );Hombre;18 - 24
36;0.0016910270185987474;1;0;15;20;15;5;33;68;Pacífico-Centro;Rural  ( <2500 Hab );Mujer;35 - 49
24;0.00019825785198194636;1;0;6;20;15;5;33;59;Pacífico-Centro;Rural  ( <2500 Hab );Mujer;18 - 24
33;0.0003565420339760495;1;0;18;14;9;5;20;52;Pacífico-Centro;Rural  ( <2500 Hab );Mujer;25 - 34
35;0.0002343597779658965;1;0;18;10;9;1;29;57;Pacífico-Centro;Rural  ( <2500 Hab );Mujer;35 - 49
56;0.0014427342097574044;1;2;9;20;15;5;35;66;Pacífico-Centro;Rural  ( <2500 Hab );Hombre;50 - 65
45;0.0006012614368408025;1;0;0;20;15;5;35;55;Pacífico-Centro;Rural  ( <2500 Hab );Hombre;35 - 49
20;0.0004194428995049836;1;0;18;4;3;1;15;37;Pacífico-Centro;Rural  ( <2500 Hab );Mujer;18 - 24
42;0.000303359998488018;1;0;15;17;12;5;22;54;Pacífico-Centro;Rural  ( <2500 Hab );Mujer;35 - 49
21;0.0031876082218939617;1;0;18;9;6;3;24;51;Pacífico-Centro;Urbano ( 2500-99,999 Hab);Mujer;18 - 24
52;0.0006440638691630542;1;0;18;20;15;5;33;71;Pacífico-Centro;Rural  ( <2500 Hab );Mujer;50 - 65
63;0.00022258617551900408;1;0;18;3;3;0;13;34;Pacífico-Centro;Rural  ( <2500 Hab );Mujer;50 - 65
48;0.0005508309632146469;1;0;18;7;6;1;18;43;Península;Rural  ( <2500 Hab );Mujer;35 - 49
39;0.000910416672015688;1;0;18;12;9;3;22;52;Península;Rural  ( <2500 Hab );Mujer;35 - 49
42;0.003033686964093338;1;0;18;17;12;5;22;57;Península;Rural  ( <2500 Hab );Hombre;35 - 49
22;0.0007044214929352149;1;0;18;15;12;3;28;61;Península;Rural  ( <2500 Hab );Mujer;18 - 24
