folio;folio_integrante;resultado_ent1;resultado_ent2;resultado_ent3;resultado_ent4;entidad;desc_ent;municipio;desc_mun;region;edad;sexo;peso_tortilla_maiz;peso_tortilla_trigo;consumo_semejante;ponderador;estrato;estrato_seleccion;upm;grupo
2022_01001001;2022_01001001_01;1;0;0;0;1;01 AGUASCALIENTES;1;001 AGUASCALIENTES;Centro Norte;51;Mujer;25.0;;Igual;8717.1854790009;Metropolitano (100mil y + Hab);13;0100100011320;Adolescentes y Adultos
2022_01001028;2022_01001028_04;1;0;0;0;1;01 AGUASCALIENTES;1;001 AGUASCALIENTES;Centro Norte;26;Mujer;22.0;25.0;Mayor;51475.173555678;Metropolitano (100mil y + Hab);13;0100100011320;Adolescentes y Adultos
2022_01001034;2022_01001034_03;1;0;0;0;1;01 AGUASCALIENTES;1;001 AGUASCALIENTES;Centro Norte;12;Hombre;27.0;34.0;Igual;16477.8557582843;Metropolitano (100mil y + Hab);13;0100100011320;Adolescentes y Adultos
2022_01001041;2022_01001041_04;1;0;0;0;1;01 AGUASCALIENTES;1;001 AGUASCALIENTES;Centro Norte;12;Hombre;18.0;;Mayor;11801.483709865;Metropolitano (100mil y + Hab);13;0100100011405;Adolescentes y Adultos
2022_01001042;2022_01001042_01;1;0;0;0;1;01 AGUASCALIENTES;1;001 AGUASCALIENTES;Centro Norte;62;Mujer;18.0;;Igual;7032.17435561176;Metropolitano (100mil y + Hab);13;0100100011405;Adolescentes y Adultos
2022_01001042;2022_01001042_04;1;0;0;0;1;01 AGUASCALIENTES;1;001 AGUASCALIENTES;Centro Norte;17;Hombre;18.0;;Mayor;23602.9674197301;Metropolitano (100mil y + Hab);13;0100100011405;Adolescentes y Adultos
2022_01001052;2022_01001052_01;1;0;0;0;1;01 AGUASCALIENTES;1;001 AGUASCALIENTES;Centro Norte;72;Mujer;22.0;;Igual;15338.3919052447;Metropolitano (100mil y + Hab);13;0100100011405;Adolescentes y Adultos
2022_01001074;2022_01001074_05;1;0;0;0;1;01 AGUASCALIENTES;1;001 AGUASCALIENTES;Centro Norte;13;Hombre;20.0;99.9;Menor;29774.0264583911;Metropolitano (100mil y + Hab);13;0100100012032;Adolescentes y Adultos
2022_01001075;2022_01001075_02;1;0;0;0;1;01 AGUASCALIENTES;1;001 AGUASCALIENTES;Centro Norte;33;Mujer;24.0;;Igual;27374.8522981065;Metropolitano (100mil y + Hab);13;0100100012032;Adolescentes y Adultos
2022_01001081;2022_01001081_02;1;0;0;0;1;01 AGUASCALIENTES;1;001 AGUASCALIENTES;Centro Norte;60;Mujer;30.0;36.0;Igual;15823.0335318306;Metropolitano (100mil y + Hab);13;0100100012032;Adolescentes y Adultos
2022_01001088;2022_01001088_01;1;0;0;0;1;01 AGUASCALIENTES;1;001 AGUASCALIENTES;Centro Norte;45;Hombre;26.0;;Menor;42563.9470690317;Metropolitano (100mil y + Hab);13;0100100012032;Adolescentes y Adultos
2022_01001124;2022_01001124_01;1;0;0;0;1;01 AGUASCALIENTES;1;001 AGUASCALIENTES;Centro Norte;68;Hombre;24.0;;Igual;200058.954336164;Metropolitano (100mil y + Hab);13;0100100012386;Adolescentes y Adultos
2022_01001151;2022_01001151_03;1;0;0;0;1;01 AGUASCALIENTES;1;001 AGUASCALIENTES;Centro Norte;23;Mujer;32.0;;Mayor;41144.7496627228;Metropolitano (100mil y + Hab);13;0100100012687;Adolescentes y Adultos
